experiment_name,num_clients,timestamp,tput,latency
pequin-seats-sql,3,2025-12-10-18-10-27,463.7,6.6294505809071955
pequin-seats-sql,5,2025-12-10-18-12-35,829.7333333333333,6.172868574562108
pequin-seats-sql,10,2025-12-10-18-14-40,1888.6333333333334,5.424610407366879
pequin-seats-sql,15,2025-12-10-17-56-44,2740.866666666667,5.608003397757401
pequin-seats-sql,20,2025-12-10-17-58-51,3457.633333333333,5.92590319181714
pequin-seats-sql,25,2025-12-10-18-00-57,3738.0333333333333,6.854349587171508
pequin-seats-sql,30,2025-12-10-18-03-02,3838.6666666666665,8.009350633344912
pequin-seats-sql,40,2025-12-10-18-51-29,3871.5333333333333,10.590699794370877
pequin-seats-sql,50,2025-12-10-18-07-14,3927.3333333333335,13.049450233254117
sintr-seats-sql-policy1,3,2025-12-09-17-38-28,410.1,7.508930529139235
sintr-seats-sql-policy1,5,2025-12-09-17-40-35,710.5,7.221386789068731
sintr-seats-sql-policy1,10,2025-12-09-17-42-41,1551.5,6.614604142958427
sintr-seats-sql-policy1,15,2025-12-09-17-45-51,2560.2,6.01103662823217
sintr-seats-sql-policy1,20,2025-12-09-17-47-58,3090.5,6.6377547764547264
sintr-seats-sql-policy1,25,2025-12-09-17-50-04,3318.8333333333335,7.726126480470044
sintr-seats-sql-policy1,30,2025-12-09-17-30-59,3567.6666666666665,8.630563094132487
sintr-seats-sql-policy1,40,2025-12-09-17-33-10,3661.9666666666667,11.210524959985072
sintr-seats-sql-policy1,50,2025-12-09-17-35-16,3669.4333333333334,13.982202842273558
sintr-seats-sql-policy2,3,2025-12-09-18-00-41,380.6666666666667,8.08914798073555
sintr-seats-sql-policy2,5,2025-12-09-18-02-49,664.6333333333333,7.725987655599579
sintr-seats-sql-policy2,10,2025-12-09-18-04-54,1436.9333333333334,7.148750964229377
sintr-seats-sql-policy2,15,2025-12-09-18-08-05,2448.3333333333335,6.289465631803948
sintr-seats-sql-policy2,20,2025-12-09-18-10-12,2974.233333333333,6.901692396225358
sintr-seats-sql-policy2,25,2025-12-09-18-12-18,3199.3333333333335,8.020175520618878
sintr-seats-sql-policy2,30,2025-12-09-17-53-16,3489.1,8.829071166680997
sintr-seats-sql-policy2,40,2025-12-09-17-55-23,3524.3333333333335,11.651700754327061
sintr-seats-sql-policy2,50,2025-12-09-17-57-29,3553.9666666666667,14.440234354477154
