experiment_name,num_clients,timestamp,tput,latency
basil-SMALLBANK,32,2025-11-21-18-43-08,6803.833333333333,4.786755771158415
basil-SMALLBANK,52,2025-11-21-18-45-27,12509.633333333333,4.223566264425551
basil-SMALLBANK,72,2025-11-21-18-47-41,15780.9,4.633581664507939
basil-SMALLBANK,92,2025-11-21-18-49-55,17619.5,5.3024567577078425
basil-SMALLBANK,112,2025-11-21-18-52-10,17573.333333333332,6.477807570565251
basil-SMALLBANK,132,2025-11-21-18-54-25,17066.933333333334,7.880653280239761
sintr-SMALLBANK-policy1,32,2025-11-21-18-57-50,4899.466666666666,6.668352724936048
sintr-SMALLBANK-policy1,52,2025-11-21-19-00-07,10322.9,5.1346162217916795
sintr-SMALLBANK-policy1,72,2025-11-21-19-02-21,13354.033333333333,5.491943655824333
sintr-SMALLBANK-policy1,92,2025-11-21-19-04-35,14837.533333333333,6.318443004032564
sintr-SMALLBANK-policy1,112,2025-11-21-19-06-50,14807.4,7.729473267370819
sintr-SMALLBANK-policy1,132,2025-11-21-19-09-05,14750.133333333333,8.83430510992217
sintr-SMALLBANK-policy2,32,2025-11-21-19-12-30,5423.3,6.023002541748874
sintr-SMALLBANK-policy2,52,2025-11-21-19-14-46,9501.833333333334,5.583491007984423
sintr-SMALLBANK-policy2,72,2025-11-21-19-17-00,12236.7,6.000671477073069
sintr-SMALLBANK-policy2,92,2025-11-21-19-19-14,14022.333333333334,6.685445552055054
sintr-SMALLBANK-policy2,112,2025-11-21-19-21-29,14835.4,7.746582377722656
sintr-SMALLBANK-policy2,132,2025-11-21-19-23-44,14836.966666666667,9.076096752397726
