experiment_name,num_clients,timestamp,tput,latency
basil-SMALLBANK,32,2025-11-21-18-43-08,6803.833333333333,4.786755771158415
basil-SMALLBANK,52,2025-11-21-18-45-27,12509.633333333333,4.223566264425551
basil-SMALLBANK,72,2025-11-21-18-47-41,15780.9,4.633581664507939
basil-SMALLBANK,92,2025-11-21-18-49-55,17619.5,5.3024567577078425
basil-SMALLBANK,112,2025-11-21-18-52-10,17573.333333333332,6.477807570565251
basil-SMALLBANK,132,2025-11-21-18-54-25,17066.933333333334,7.880653280239761
sintr-SMALLBANK-policy1,32,2025-11-21-18-57-50,4899.466666666666,6.668352724936048
sintr-SMALLBANK-policy1,52,2025-11-21-19-00-07,10322.9,5.1346162217916795
sintr-SMALLBANK-policy1,72,2025-11-21-19-02-21,13354.033333333333,5.491943655824333
sintr-SMALLBANK-policy1,92,2025-11-21-19-04-35,14837.533333333333,6.318443004032564
sintr-SMALLBANK-policy1,112,2025-11-21-19-06-50,14807.4,7.729473267370819
sintr-SMALLBANK-policy1,132,2025-11-21-19-09-05,14750.133333333333,8.83430510992217
sintr-SMALLBANK-policy2,32,2025-11-21-19-12-30,5423.3,6.023002541748874
sintr-SMALLBANK-policy2,52,2025-11-21-19-14-46,9501.833333333334,5.583491007984423
sintr-SMALLBANK-policy2,72,2025-11-21-19-17-00,12236.7,6.000671477073069
sintr-SMALLBANK-policy2,92,2025-11-21-19-19-14,14022.333333333334,6.685445552055054
sintr-SMALLBANK-policy2,112,2025-11-21-19-21-29,14835.4,7.746582377722656
sintr-SMALLBANK-policy2,132,2025-11-21-19-23-44,14836.966666666667,9.076096752397726
hs-SMALLBANK-policy1,36,2025-11-21-16-44-39,2005.25,18.708231633611767
hs-SMALLBANK-policy1,48,2025-11-21-16-46-20,2461.05,20.316427646431404
hs-SMALLBANK-policy1,60,2025-11-21-16-47-59,2935.2,21.267870223374896
hs-SMALLBANK-policy1,72,2025-11-21-16-49-38,3294.55,22.720355336024646
hs-SMALLBANK-policy1,84,2025-11-21-16-51-17,3547.8,24.588365379686007
hs-SMALLBANK-policy1,96,2025-11-21-16-52-57,3661.85,27.22207513700725
hs-SMALLBANK-policy2,36,2025-11-21-16-55-21,2015.95,18.61997655105533
hs-SMALLBANK-policy2,48,2025-11-21-16-57-02,2472.1,20.228952525787793
hs-SMALLBANK-policy2,60,2025-11-21-16-58-41,2960.05,21.099808454113948
hs-SMALLBANK-policy2,72,2025-11-21-17-00-20,3241.95,23.099383630052902
hs-SMALLBANK-policy2,84,2025-11-21-17-02-00,3373.35,25.887673484429424
hs-SMALLBANK-policy2,96,2025-11-21-17-03-39,3648.55,27.34473449655343
hs-SMALLBANK,36,2025-11-21-16-33-56,2082.6,18.013001248703546
hs-SMALLBANK,48,2025-11-21-17-10-56,2518.8,19.860603813323806
hs-SMALLBANK,60,2025-11-21-16-37-16,3045.95,20.493216939312855
hs-SMALLBANK,72,2025-11-21-16-38-55,3356.4,22.32671748522226
hs-SMALLBANK,84,2025-11-21-16-40-34,3556.3,24.52438173064702
hs-SMALLBANK,96,2025-11-21-16-42-14,3839.0,25.945572856499087
smart-SMALLBANK-policy1,30,2025-11-19-22-20-34,1757.1,17.75113612253144
smart-SMALLBANK-policy1,40,2025-11-19-22-22-15,2567.7,16.18120439769054
smart-SMALLBANK-policy1,50,2025-11-19-22-23-54,3103.95,16.752704533964785
smart-SMALLBANK-policy1,60,2025-11-19-22-25-33,3608.3,17.256023372128148
smart-SMALLBANK-policy1,70,2025-11-19-22-30-36,3958.35,18.314316013162053
smart-SMALLBANK-policy1,80,2025-11-19-22-28-51,4169.8,19.90204092657921
smart-SMALLBANK-policy2,30,2025-11-19-22-33-01,1772.3,17.6056673169328
smart-SMALLBANK-policy2,40,2025-11-19-22-34-41,2460.5,16.94008236476326
smart-SMALLBANK-policy2,50,2025-11-19-22-36-20,2929.0,17.773751230658927
smart-SMALLBANK-policy2,60,2025-11-19-22-55-24,3468.05,17.992237408558125
smart-SMALLBANK-policy2,70,2025-11-19-22-57-05,3808.15,19.129646344406076
smart-SMALLBANK-policy2,80,2025-11-19-22-41-18,4076.4,20.46564754436513
smart-SMALLBANK,30,2025-11-19-22-09-39,1802.65,17.30249441172718
smart-SMALLBANK,40,2025-11-19-22-11-20,2664.1,15.557530047558274
smart-SMALLBANK,50,2025-11-19-22-12-58,3238.25,16.003354386489615
smart-SMALLBANK,60,2025-11-19-22-14-42,3682.55,16.889828277973145
smart-SMALLBANK,70,2025-11-19-22-16-22,4017.2,18.059241590722394
smart-SMALLBANK,80,2025-11-19-22-18-09,4229.5,19.606916032509755
