experiment_name,num_clients,timestamp,tput,latency
TxBFTSmart-policy1,30,2025-11-28-05-19-10,1773.3,17.58673206572492
TxBFTSmart-policy1,40,2025-11-28-05-20-50,2669.05,15.5506089757779
TxBFTSmart-policy1,50,2025-11-28-05-22-29,3240.55,15.999766479177914
TxBFTSmart-policy1,60,2025-11-28-05-24-08,3649.9,17.047190205512482
TxBFTSmart-policy1,70,2025-11-28-05-25-47,3861.4,18.799744210286423
TxBFTSmart-policy1,80,2025-11-28-05-27-26,3978.75,20.87125157200126
TxBFTSmart-policy2,30,2025-11-28-05-29-50,1769.15,17.63919690385213
TxBFTSmart-policy2,40,2025-11-28-05-31-30,2640.05,15.729675740326888
TxBFTSmart-policy2,50,2025-11-28-05-33-09,3204.95,16.191233825566698
TxBFTSmart-policy2,60,2025-11-28-05-34-48,3571.85,17.434143587748643
TxBFTSmart-policy2,70,2025-11-28-05-36-27,3822.85,19.00493399181239
TxBFTSmart-policy2,80,2025-11-28-05-38-05,3931.95,21.119534606149625
TxBFTSmart,30,2025-11-28-05-08-28,1818.05,17.14463717807541
TxBFTSmart,40,2025-11-28-05-10-11,2721.65,15.246222533408043
TxBFTSmart,50,2025-11-28-05-11-50,3349.85,15.466518350015672
TxBFTSmart,60,2025-11-28-05-13-28,3719.45,16.719431812163087
TxBFTSmart,70,2025-11-28-05-15-07,3884.05,18.684586501332372
TxBFTSmart,80,2025-11-28-05-16-46,3948.25,21.025962938884316
Basil,32,2025-11-27-20-57-17,6922.433333333333,4.703270266423655
Basil,52,2025-11-27-20-59-38,12289.166666666666,4.299824347970435
Basil,72,2025-11-27-21-01-51,15864.933333333332,4.608936343909419
Basil,92,2025-11-27-21-04-05,17312.9,5.395677652218865
Basil,112,2025-11-27-21-06-20,17710.8,6.428048509992017
Basil,132,2025-11-27-21-08-35,17424.433333333334,7.713140446646759
Sintr-policy1,32,2025-11-27-23-53-29,5346.466666666666,6.1072106370063715
Sintr-policy1,52,2025-11-27-23-55-46,10418.066666666668,5.086967992375425
Sintr-policy1,72,2025-11-27-23-58-00,13440.166666666666,5.4566922181520585
Sintr-policy1,92,2025-11-28-00-00-14,14865.933333333332,6.304762202947233
Sintr-policy1,112,2025-11-28-00-02-29,14857.366666666667,7.689100053742139
Sintr-policy1,132,2025-11-28-00-04-43,14788.7,9.116479464171968
Sintr-policy2,32,2025-11-28-00-08-07,5429.0,6.016267954994781
Sintr-policy2,52,2025-11-28-00-10-23,9665.166666666666,5.488852770405751
Sintr-policy2,72,2025-11-28-00-12-37,12685.033333333333,5.7871838797690724
Sintr-policy2,92,2025-11-28-00-14-51,14317.666666666666,6.550578291500012
Sintr-policy2,112,2025-11-28-00-17-07,15111.7,7.555688170055871
Sintr-policy2,132,2025-11-28-00-19-23,14811.2,9.096380804488046
TxHotstuff-policy1,36,2025-11-21-16-44-39,2005.25,18.708231633611767
TxHotstuff-policy1,48,2025-11-21-16-46-20,2461.05,20.316427646431404
TxHotstuff-policy1,60,2025-11-21-16-47-59,2935.2,21.267870223374896
TxHotstuff-policy1,72,2025-11-21-16-49-38,3294.55,22.720355336024646
TxHotstuff-policy1,84,2025-11-21-16-51-17,3547.8,24.588365379686007
TxHotstuff-policy1,96,2025-11-21-16-52-57,3661.85,27.22207513700725
TxHotstuff-policy2,36,2025-11-21-16-55-21,2015.95,18.61997655105533
TxHotstuff-policy2,48,2025-11-21-16-57-02,2472.1,20.228952525787793
TxHotstuff-policy2,60,2025-11-21-16-58-41,2960.05,21.099808454113948
TxHotstuff-policy2,72,2025-11-21-17-00-20,3241.95,23.099383630052902
TxHotstuff-policy2,84,2025-11-21-17-02-00,3373.35,25.887673484429424
TxHotstuff-policy2,96,2025-11-21-17-03-39,3648.55,27.34473449655343
TxHotstuff,36,2025-11-21-16-33-56,2082.6,18.013001248703546
TxHotstuff,48,2025-11-21-17-10-56,2518.8,19.860603813323806
TxHotstuff,60,2025-11-21-16-37-16,3045.95,20.493216939312855
TxHotstuff,72,2025-11-21-16-38-55,3356.4,22.32671748522226
TxHotstuff,84,2025-11-21-16-40-34,3556.3,24.52438173064702
TxHotstuff,96,2025-11-21-16-42-14,3839.0,25.945572856499087
