experiment_name,num_clients,timestamp,tput,latency
TxBFTSmart-policy1,30,2025-11-28-05-19-10,1773.3,17.58673206572492
TxBFTSmart-policy1,40,2025-11-28-05-20-50,2669.05,15.5506089757779
TxBFTSmart-policy1,50,2025-11-28-05-22-29,3240.55,15.999766479177914
TxBFTSmart-policy1,60,2025-11-28-05-24-08,3649.9,17.047190205512482
TxBFTSmart-policy1,70,2025-11-28-05-25-47,3861.4,18.799744210286423
TxBFTSmart-policy1,80,2025-11-28-05-27-26,3978.75,20.87125157200126
TxBFTSmart-policy2,30,2025-11-28-05-29-50,1769.15,17.63919690385213
TxBFTSmart-policy2,40,2025-11-28-05-31-30,2640.05,15.729675740326888
TxBFTSmart-policy2,50,2025-11-28-05-33-09,3204.95,16.191233825566698
TxBFTSmart-policy2,60,2025-11-28-05-34-48,3571.85,17.434143587748643
TxBFTSmart-policy2,70,2025-11-28-05-36-27,3822.85,19.00493399181239
TxBFTSmart-policy2,80,2025-11-28-05-38-05,3931.95,21.119534606149625
TxBFTSmart,30,2025-11-28-05-08-28,1818.05,17.14463717807541
TxBFTSmart,40,2025-11-28-05-10-11,2721.65,15.246222533408043
TxBFTSmart,50,2025-11-28-05-11-50,3349.85,15.466518350015672
TxBFTSmart,60,2025-11-28-05-13-28,3719.45,16.719431812163087
TxBFTSmart,70,2025-11-28-05-15-07,3884.05,18.684586501332372
TxBFTSmart,80,2025-11-28-05-16-46,3948.25,21.025962938884316
