experiment_name,num_clients,timestamp,tput,latency
smart-SMALLBANK-policy1,30,2025-11-19-22-20-34,1757.1,17.75113612253144
smart-SMALLBANK-policy1,40,2025-11-19-22-22-15,2567.7,16.18120439769054
smart-SMALLBANK-policy1,50,2025-11-19-22-23-54,3103.95,16.752704533964785
smart-SMALLBANK-policy1,60,2025-11-19-22-25-33,3608.3,17.256023372128148
smart-SMALLBANK-policy1,70,2025-11-19-22-30-36,3958.35,18.314316013162053
smart-SMALLBANK-policy1,80,2025-11-19-22-28-51,4169.8,19.90204092657921
smart-SMALLBANK-policy2,30,2025-11-19-22-33-01,1772.3,17.6056673169328
smart-SMALLBANK-policy2,40,2025-11-19-22-34-41,2460.5,16.94008236476326
smart-SMALLBANK-policy2,50,2025-11-19-22-36-20,2929.0,17.773751230658927
smart-SMALLBANK-policy2,60,2025-11-19-22-55-24,3468.05,17.992237408558125
smart-SMALLBANK-policy2,70,2025-11-19-22-57-05,3808.15,19.129646344406076
smart-SMALLBANK-policy2,80,2025-11-19-22-41-18,4076.4,20.46564754436513
smart-SMALLBANK,30,2025-11-19-22-09-39,1802.65,17.30249441172718
smart-SMALLBANK,40,2025-11-19-22-11-20,2664.1,15.557530047558274
smart-SMALLBANK,50,2025-11-19-22-12-58,3238.25,16.003354386489615
smart-SMALLBANK,60,2025-11-19-22-14-42,3682.55,16.889828277973145
smart-SMALLBANK,70,2025-11-19-22-16-22,4017.2,18.059241590722394
smart-SMALLBANK,80,2025-11-19-22-18-09,4229.5,19.606916032509755
