experiment_name,num_clients,timestamp,tput,latency
hs-SMALLBANK-policy1,36,2025-11-21-16-44-39,2005.25,18.708231633611767
hs-SMALLBANK-policy1,48,2025-11-21-16-46-20,2461.05,20.316427646431404
hs-SMALLBANK-policy1,60,2025-11-21-16-47-59,2935.2,21.267870223374896
hs-SMALLBANK-policy1,72,2025-11-21-16-49-38,3294.55,22.720355336024646
hs-SMALLBANK-policy1,84,2025-11-21-16-51-17,3547.8,24.588365379686007
hs-SMALLBANK-policy1,96,2025-11-21-16-52-57,3661.85,27.22207513700725
hs-SMALLBANK-policy2,36,2025-11-21-16-55-21,2015.95,18.61997655105533
hs-SMALLBANK-policy2,48,2025-11-21-16-57-02,2472.1,20.228952525787793
hs-SMALLBANK-policy2,60,2025-11-21-16-58-41,2960.05,21.099808454113948
hs-SMALLBANK-policy2,72,2025-11-21-17-00-20,3241.95,23.099383630052902
hs-SMALLBANK-policy2,84,2025-11-21-17-02-00,3373.35,25.887673484429424
hs-SMALLBANK-policy2,96,2025-11-21-17-03-39,3648.55,27.34473449655343
hs-SMALLBANK,36,2025-11-21-16-33-56,2082.6,18.013001248703546
hs-SMALLBANK,48,2025-11-21-17-10-56,2518.8,19.860603813323806
hs-SMALLBANK,60,2025-11-21-16-37-16,3045.95,20.493216939312855
hs-SMALLBANK,72,2025-11-21-16-38-55,3356.4,22.32671748522226
hs-SMALLBANK,84,2025-11-21-16-40-34,3556.3,24.52438173064702
hs-SMALLBANK,96,2025-11-21-16-42-14,3839.0,25.945572856499087
