experiment_name,num_clients,timestamp,tput,latency
peloton-smart,10,2025-10-23-15-28-04,323.6666666666667,31.859848065190526
peloton-smart,20,2025-10-23-15-30-51,594.6,34.66549072575401
peloton-smart,30,2025-10-23-15-33-37,780.3,39.661939929087104
peloton-smart,40,2025-10-23-15-36-22,849.2666666666667,48.60361704105503
peloton-smart,50,2025-10-23-15-39-07,872.8,59.24228338424229
peloton-smart,60,2025-10-23-15-41-51,900.2666666666667,69.20952068213121
peloton-smart,72,2025-10-23-15-44-36,898.2333333333333,83.66926450873937
peloton-smart-policy1,10,2025-10-23-14-48-00,300.2,34.31665787763713
peloton-smart-policy1,20,2025-10-23-14-50-47,543.6333333333333,37.92402275798639
peloton-smart-policy1,30,2025-10-23-14-53-33,710.9333333333333,43.53905268693736
peloton-smart-policy1,40,2025-10-23-14-56-18,824.0,50.13338734199029
peloton-smart-policy1,50,2025-10-23-14-59-03,829.0666666666667,62.353629870858796
peloton-smart-policy1,60,2025-10-23-15-01-48,841.9333333333333,74.14834979139283
peloton-smart-policy1,72,2025-10-23-15-04-32,849.9666666666667,88.46763036036707
peloton-smart-policy2,10,2025-10-23-15-08-02,272.96666666666664,37.79982281145438
peloton-smart-policy2,20,2025-10-23-15-10-48,482.26666666666665,42.783131285457564
peloton-smart-policy2,30,2025-10-23-15-13-34,646.9333333333333,47.87139814823784
peloton-smart-policy2,40,2025-10-23-15-16-20,756.3666666666667,54.65871479326605
peloton-smart-policy2,50,2025-10-23-15-19-05,793.1,65.38273449623838
peloton-smart-policy2,60,2025-10-23-15-21-50,819.4333333333333,76.08377100000001
peloton-smart-policy2,72,2025-10-23-15-24-35,807.8666666666667,93.10574969330747
