experiment_name,num_clients,timestamp,tput,latency
Pesto,1,2025-10-21-15-34-22,89.86666666666666,11.465320942878337
Pesto,4,2025-10-21-15-37-03,356.8666666666667,11.52457670717355
Pesto,8,2025-10-21-15-39-42,672.4666666666667,12.220054238673539
Pesto,12,2025-10-21-15-15-20,977.7666666666667,12.627244447414176
Pesto,16,2025-10-21-15-18-02,1297.0666666666666,12.693894817202919
Pesto,20,2025-10-21-15-20-42,1526.4333333333334,13.486424657917148
Pesto,24,2025-10-21-15-23-23,1631.5,15.137067416855654
Pesto,28,2025-10-21-15-26-04,1662.9,17.334726317056546
Pesto,32,2025-10-21-15-28-44,1660.8,19.861693855732177
Pesto,36,2025-10-21-15-31-25,1681.5,22.06755665356329
Sintr-Policy1,4,2025-11-08-14-29-56,296.1333333333333,13.909579981990095
Sintr-Policy1,8,2025-11-08-14-32-39,597.1,13.800751378496066
Sintr-Policy1,12,2025-11-08-14-35-20,869.1666666666666,14.21828394573346
Sintr-Policy1,16,2025-11-08-14-38-00,1093.0333333333333,15.078465051995973
Sintr-Policy1,20,2025-11-08-14-40-41,1262.8,16.318118741843524
Sintr-Policy1,24,2025-11-08-14-43-22,1381.3,17.899848478969087
Sintr-Policy1,28,2025-11-08-16-08-27,1425.0333333333333,20.24966103918037
Sintr-Policy1,32,2025-11-08-14-24-15,1452.5,22.71927502923695
Sintr-Policy1,36,2025-11-08-14-26-58,1471.4666666666667,25.248838710810077
Sintr-Policy2,4,2025-11-08-14-54-50,278.7,14.792473767372323
Sintr-Policy2,8,2025-11-08-14-57-33,543.4333333333333,15.160773430227566
Sintr-Policy2,12,2025-11-08-15-00-14,800.8333333333334,15.43022544378772
Sintr-Policy2,16,2025-11-08-15-02-55,1001.2333333333333,16.456574698338713
Sintr-Policy2,20,2025-11-08-15-05-36,1169.6333333333334,17.61325075701787
Sintr-Policy2,24,2025-11-08-15-08-17,1284.6666666666667,19.252339473897248
Sintr-Policy2,28,2025-11-08-14-46-25,1368.5,21.092769974814274
Sintr-Policy2,32,2025-11-08-14-49-10,1399.5,23.588948146599975
Sintr-Policy2,36,2025-11-08-14-51-53,1430.5,25.980225986391705
Peloton-HS,10,2025-10-23-14-01-14,226.4,45.590909487338045
Peloton-HS,20,2025-10-23-14-04-01,430.4,47.9588792166202
Peloton-HS,30,2025-10-23-14-06-47,601.7,51.42723493357708
Peloton-HS,40,2025-10-23-14-09-33,717.6333333333333,57.66080793515723
Peloton-HS,50,2025-10-23-14-12-18,776.1,66.70339276008247
Peloton-HS,60,2025-10-23-14-15-02,806.3,77.54168959543594
Peloton-HS,72,2025-10-23-14-20-36,830.2333333333333,90.63608105367967
Peloton-HS-Sintr-Policy1,10,2025-10-23-13-21-06,213.06666666666666,48.48222046104506
Peloton-HS-Sintr-Policy1,20,2025-10-23-13-23-53,407.56666666666666,50.576428308988305
Peloton-HS-Sintr-Policy1,30,2025-10-23-13-26-39,577.3,53.64188151769733
Peloton-HS-Sintr-Policy1,40,2025-10-23-13-29-25,671.6666666666666,61.62679460868487
Peloton-HS-Sintr-Policy1,50,2025-10-23-13-32-10,721.7,71.87581527144242
Peloton-HS-Sintr-Policy1,60,2025-10-23-13-34-55,759.0,82.18787480461133
Peloton-HS-Sintr-Policy1,72,2025-10-23-13-37-40,799.1333333333333,93.7563546308501
Peloton-HS-Sintr-Policy2,10,2025-10-23-13-41-10,200.33333333333334,51.41872745906822
Peloton-HS-Sintr-Policy2,20,2025-10-23-13-43-57,377.8666666666667,54.56754245068807
Peloton-HS-Sintr-Policy2,30,2025-10-23-13-46-44,527.5,58.73616927886256
Peloton-HS-Sintr-Policy2,40,2025-10-23-13-49-29,626.8333333333334,65.99093049758042
Peloton-HS-Sintr-Policy2,50,2025-10-23-14-40-36,675.7333333333333,76.65086681659432
Peloton-HS-Sintr-Policy2,60,2025-10-23-13-54-59,713.8666666666667,87.2400947532686
Peloton-HS-Sintr-Policy2,72,2025-10-23-13-57-44,767.8666666666667,97.99758047295539
Peloton-Smart,10,2025-10-23-15-28-04,323.6666666666667,31.859848065190526
Peloton-Smart,20,2025-10-23-15-30-51,594.6,34.66549072575401
Peloton-Smart,30,2025-10-23-15-33-37,780.3,39.661939929087104
Peloton-Smart,40,2025-10-23-15-36-22,849.2666666666667,48.60361704105503
Peloton-Smart,50,2025-10-23-15-39-07,872.8,59.24228338424229
Peloton-Smart,60,2025-10-23-15-41-51,900.2666666666667,69.20952068213121
Peloton-Smart,72,2025-10-23-15-44-36,898.2333333333333,83.66926450873937
Peloton-Smart-Sintr-Policy1,10,2025-10-23-14-48-00,300.2,34.31665787763713
Peloton-Smart-Sintr-Policy1,20,2025-10-23-14-50-47,543.6333333333333,37.92402275798639
Peloton-Smart-Sintr-Policy1,30,2025-10-23-14-53-33,710.9333333333333,43.53905268693736
Peloton-Smart-Sintr-Policy1,40,2025-10-23-14-56-18,824.0,50.13338734199029
Peloton-Smart-Sintr-Policy1,50,2025-10-23-14-59-03,829.0666666666667,62.353629870858796
Peloton-Smart-Sintr-Policy1,60,2025-10-23-15-01-48,841.9333333333333,74.14834979139283
Peloton-Smart-Sintr-Policy1,72,2025-10-23-15-04-32,849.9666666666667,88.46763036036707
Peloton-Smart-Sintr-Policy2,10,2025-10-23-15-08-02,272.96666666666664,37.79982281145438
Peloton-Smart-Sintr-Policy2,20,2025-10-23-15-10-48,482.26666666666665,42.783131285457564
Peloton-Smart-Sintr-Policy2,30,2025-10-23-15-13-34,646.9333333333333,47.87139814823784
Peloton-Smart-Sintr-Policy2,40,2025-10-23-15-16-20,756.3666666666667,54.65871479326605
Peloton-Smart-Sintr-Policy2,50,2025-10-23-15-19-05,793.1,65.38273449623838
Peloton-Smart-Sintr-Policy2,60,2025-10-23-15-21-50,819.4333333333333,76.08377100000001
Peloton-Smart-Sintr-Policy2,72,2025-10-23-15-24-35,807.8666666666667,93.10574969330747
