experiment_name,num_clients,timestamp,tput,latency
peloton-HS,10,2025-10-23-14-01-14,226.4,45.590909487338045
peloton-HS,20,2025-10-23-14-04-01,430.4,47.9588792166202
peloton-HS,30,2025-10-23-14-06-47,601.7,51.42723493357708
peloton-HS,40,2025-10-23-14-09-33,717.6333333333333,57.66080793515723
peloton-HS,50,2025-10-23-14-12-18,776.1,66.70339276008247
peloton-HS,60,2025-10-23-14-15-02,806.3,77.54168959543594
peloton-HS,72,2025-10-23-14-20-36,830.2333333333333,90.63608105367967
peloton-HS-policy1,10,2025-10-23-13-21-06,213.06666666666666,48.48222046104506
peloton-HS-policy1,20,2025-10-23-13-23-53,407.56666666666666,50.576428308988305
peloton-HS-policy1,30,2025-10-23-13-26-39,577.3,53.64188151769733
peloton-HS-policy1,40,2025-10-23-13-29-25,671.6666666666666,61.62679460868487
peloton-HS-policy1,50,2025-10-23-13-32-10,721.7,71.87581527144242
peloton-HS-policy1,60,2025-10-23-13-34-55,759.0,82.18787480461133
peloton-HS-policy1,72,2025-10-23-13-37-40,799.1333333333333,93.7563546308501
peloton-HS-policy2,10,2025-10-23-13-41-10,200.33333333333334,51.41872745906822
peloton-HS-policy2,20,2025-10-23-13-43-57,377.8666666666667,54.56754245068807
peloton-HS-policy2,30,2025-10-23-13-46-44,527.5,58.73616927886256
peloton-HS-policy2,40,2025-10-23-13-49-29,626.8333333333334,65.99093049758042
peloton-HS-policy2,50,2025-10-23-14-40-36,675.7333333333333,76.65086681659432
peloton-HS-policy2,60,2025-10-23-13-54-59,713.8666666666667,87.2400947532686
peloton-HS-policy2,72,2025-10-23-13-57-44,767.8666666666667,97.99758047295539
