experiment_name,num_clients,timestamp,tput,latency
pesto,1,2025-10-21-15-34-22,89.86666666666666,11.465320942878337
pesto,4,2025-10-21-15-37-03,356.8666666666667,11.52457670717355
pesto,8,2025-10-21-15-39-42,672.4666666666667,12.220054238673539
pesto,12,2025-10-21-15-15-20,977.7666666666667,12.627244447414176
pesto,16,2025-10-21-15-18-02,1297.0666666666666,12.693894817202919
pesto,20,2025-10-21-15-20-42,1526.4333333333334,13.486424657917148
pesto,24,2025-10-21-15-23-23,1631.5,15.137067416855654
pesto,28,2025-10-21-15-26-04,1662.9,17.334726317056546
pesto,32,2025-10-21-15-28-44,1660.8,19.861693855732177
pesto,36,2025-10-21-15-31-25,1681.5,22.06755665356329
sintr-policy1,4,2025-10-22-12-08-27,296.43333333333334,13.896821867648713
sintr-policy1,8,2025-10-22-12-11-10,589.4333333333333,13.977111029859188
sintr-policy1,12,2025-10-22-12-13-51,865.3666666666667,14.280914353761412
sintr-policy1,16,2025-10-22-12-16-31,1089.3,15.128263607117722
sintr-policy1,20,2025-10-22-12-19-12,1244.6666666666667,16.544993454900908
sintr-policy1,24,2025-10-22-12-21-53,1354.4,18.249899441548532
sintr-policy1,28,2025-10-22-12-00-02,1421.1,20.305524991743486
sintr-policy1,32,2025-10-22-12-02-47,1476.0666666666666,22.34651014312813
sintr-policy1,36,2025-10-22-12-05-30,1477.0333333333333,25.147906044548755
sintr-policy2,4,2025-10-22-12-33-21,279.6666666666667,14.742348101907032
sintr-policy2,8,2025-10-22-12-36-04,543.4333333333333,15.157002107894252
sintr-policy2,12,2025-10-22-12-38-45,778.5333333333333,15.875239383199178
sintr-policy2,16,2025-10-22-12-41-26,985.7333333333333,16.722464887765454
sintr-policy2,20,2025-10-22-12-44-07,1156.5333333333333,17.818971924832834
sintr-policy2,24,2025-10-22-12-46-47,1285.5,19.250738491067032
sintr-policy2,28,2025-10-22-12-24-56,1346.0666666666666,21.44750934631767
sintr-policy2,32,2025-10-22-12-27-41,1407.8666666666666,23.434952869282128
sintr-policy2,36,2025-10-22-12-30-24,1414.7,26.24420414827643
