experiment_name,num_clients,timestamp,tput,latency
P-0,4,2026-03-25-23-53-22,1238.4333333333334,3.318023906683175
P-0,8,2026-03-25-23-55-32,2822.9,2.9107713687342804
P-0,12,2026-03-25-23-57-41,4146.433333333333,2.973461386709863
P-0,16,2026-03-25-23-59-50,4667.8,3.527626352700058
P-0,20,2026-03-26-00-01-59,4724.5,4.3921268530567605
P-0,24,2026-03-26-00-04-08,4712.466666666666,5.291449358998118
P-0,28,2026-03-26-00-06-17,4722.133333333333,6.137264644023888
P-1-U,4,2026-03-26-00-09-44,920.9333333333333,4.469386099283335
P-1-U,8,2026-03-26-00-11-57,1962.1666666666667,4.195480809904018
P-1-U,12,2026-03-26-00-14-07,2863.133333333333,4.318220806878246
P-1-U,16,2026-03-26-00-16-18,3426.6,4.824176518619039
P-1-U,20,2026-03-26-00-18-28,3684.3333333333335,5.602138597104859
P-1-U,24,2026-03-26-00-20-39,3747.0333333333333,6.631894460951331
P-1-U,28,2026-03-26-00-22-50,3879.3,7.563008137413109
P-1-Z,4,2026-03-26-00-26-12,908.2333333333333,4.531688888758395
P-1-Z,8,2026-03-26-00-28-24,1889.5,4.357234609949722
P-1-Z,12,2026-03-26-00-30-35,2652.9,4.663800127822384
P-1-Z,16,2026-03-26-00-32-46,3117.9666666666667,5.291008166700521
P-1-Z,20,2026-03-26-00-34-57,3308.366666666667,6.246522547641837
P-1-Z,24,2026-03-26-00-37-08,3322.8,7.51661055428153
P-1-Z,28,2026-03-26-00-39-19,3386.4666666666667,8.591541310845129
P-2-U,4,2026-03-26-00-42-41,881.3333333333334,4.6722487643721635
P-2-U,8,2026-03-26-00-44-54,1882.3333333333333,4.37561916654861
P-2-U,12,2026-03-26-00-47-05,2694.5333333333333,4.594299755480232
P-2-U,16,2026-03-26-00-49-16,3204.7,5.154391016132554
P-2-U,20,2026-03-26-00-51-26,3443.0333333333333,6.011058877830595
P-2-U,24,2026-03-26-00-53-37,3583.866666666667,6.946791585754679
P-2-U,28,2026-03-26-00-55-48,3584.766666666667,8.145308386533758
P-3-U,4,2026-03-26-00-59-10,853.5333333333333,4.82542301073967
P-3-U,8,2026-03-26-01-01-23,1778.5,4.6311540716521415
P-3-U,12,2026-03-26-01-03-34,2517.8333333333335,4.907989489759714
P-3-U,16,2026-03-26-01-05-45,2993.0,5.513957512696291
P-3-U,20,2026-03-26-01-07-56,3332.9,6.199472656035284
P-3-U,24,2026-03-26-01-10-06,3378.9333333333334,7.393427853582985
P-3-U,28,2026-03-26-01-12-17,3503.9333333333334,8.308947372752526
