experiment_name,num_clients,timestamp,tput,latency
Z-policy0-unsafe,4,2025-10-21-23-46-00,1164.7,3.529438533012793
Z-policy0-unsafe,8,2025-10-21-23-48-10,1515.1,5.4421972596968295
Z-policy0-unsafe,12,2025-10-21-23-50-17,2611.6,4.770579474906826
Z-policy0-unsafe,16,2025-10-21-23-52-25,3157.5,5.280666341525468
Z-policy0-unsafe,20,2025-10-21-23-54-33,3828.766666666667,5.604615032264526
Z-policy0-unsafe,24,2025-10-21-23-56-41,4034.9333333333334,6.314066728132642
Z-policy0-unsafe,28,2025-10-21-23-58-49,3954.8333333333335,7.8789951486282614
Z-policy0-unsafe,32,2025-10-22-00-00-57,4228.4,8.255950889753416
Z-policy1U,4,2025-10-22-00-03-28,836.3,4.92378862114871
Z-policy1U,8,2025-10-22-00-05-39,1744.8333333333333,4.719945259719171
Z-policy1U,12,2025-10-22-00-07-49,2456.4666666666667,5.034542112315793
Z-policy1U,16,2025-10-22-00-09-58,3050.233333333333,5.459139483045013
Z-policy1U,20,2025-10-22-00-12-08,3225.0666666666666,6.659566417872499
Z-policy1U,24,2025-10-22-00-14-17,3515.733333333333,7.245099510163835
Z-policy1U,28,2025-10-22-00-16-27,3554.9333333333334,8.67284639584427
Z-policy1U,32,2025-10-22-00-18-37,3631.9,9.756654810677606
Z-policy1Z,4,2025-10-22-00-21-08,842.6666666666666,4.885853473417722
Z-policy1Z,8,2025-10-22-00-23-20,1736.5,4.748077816700259
Z-policy1Z,12,2025-10-22-00-25-29,2608.866666666667,4.736017006529017
Z-policy1Z,16,2025-10-22-00-27-39,3280.8,5.021788592772087
Z-policy1Z,20,2025-10-22-00-29-48,3456.5666666666666,5.965511864586247
Z-policy1Z,24,2025-10-22-00-31-58,3578.9,6.916584756098242
Z-policy1Z,28,2025-10-22-00-34-08,3529.0,8.243368804845565
Z-policy1Z,32,2025-10-22-00-36-17,3435.1666666666665,9.647036884236572
Z-policy2U,4,2025-10-22-00-38-48,831.9333333333333,4.95040536100649
Z-policy2U,8,2025-10-22-00-41-00,1790.4666666666667,4.599789074375395
Z-policy2U,12,2025-10-22-00-43-09,2720.9,4.541646877614025
Z-policy2U,16,2025-10-22-00-45-19,3398.266666666667,4.8483811954329665
Z-policy2U,20,2025-10-22-00-47-28,3705.5,5.56821423627041
Z-policy2U,24,2025-10-22-00-49-38,3718.0666666666666,6.680560441743916
Z-policy2U,28,2025-10-22-00-51-48,3747.9666666666667,7.759130705973908
Z-policy2U,32,2025-10-22-00-53-58,3699.1666666666665,8.954908044181124
Z-policy3U,4,2025-10-22-00-56-29,824.3666666666667,4.996559809429461
Z-policy3U,8,2025-10-22-00-58-41,1737.7,4.7406674973624146
Z-policy3U,12,2025-10-22-01-00-50,2541.0333333333333,4.862807173918746
Z-policy3U,16,2025-10-22-01-03-00,3231.0,5.10339341684721
Z-policy3U,20,2025-10-22-01-05-09,3566.9,5.785520503275487
Z-policy3U,24,2025-10-22-11-33-55,3636.733333333333,6.8039899764623915
Z-policy3U,28,2025-10-22-11-36-06,3564.0,8.13270762992892
Z-policy3U,32,2025-10-22-01-11-39,3543.4,9.366564070045719
