experiment_name,exp_timestamp,time_s,tput
-4_10%,2025-10-22-17-59-53,3.0,3750.0
-4_10%,2025-10-22-17-59-53,6.0,3730.3333333333335
-4_10%,2025-10-22-17-59-53,9.0,3726.6666666666665
-4_10%,2025-10-22-17-59-53,12.0,3720.0
-4_10%,2025-10-22-17-59-53,15.0,3719.6666666666665
-4_10%,2025-10-22-17-59-53,18.0,3809.0
-4_10%,2025-10-22-17-59-53,21.0,3804.6666666666665
-4_10%,2025-10-22-17-59-53,24.0,3841.0
-4_10%,2025-10-22-17-59-53,27.0,3802.3333333333335
-4_10%,2025-10-22-17-59-53,30.0,3717.0
-4_10%,2025-10-22-17-59-53,33.0,3772.0
-4_10%,2025-10-22-17-59-53,36.0,3692.3333333333335
-4_10%,2025-10-22-17-59-53,39.0,3794.0
-4_10%,2025-10-22-17-59-53,42.0,3770.0
-4_10%,2025-10-22-17-59-53,45.0,3843.0
-4_10%,2025-10-22-17-59-53,48.0,3844.0
-4_10%,2025-10-22-17-59-53,51.0,3695.0
-4_10%,2025-10-22-17-59-53,54.0,3735.3333333333335
-4_10%,2025-10-22-17-59-53,57.0,3677.6666666666665
-4_10%,2025-10-22-17-59-53,60.0,3728.6666666666665
-4_10%,2025-10-22-20-23-32,3.0,3744.0
-4_10%,2025-10-22-20-23-32,6.0,3679.3333333333335
-4_10%,2025-10-22-20-23-32,9.0,3846.6666666666665
-4_10%,2025-10-22-20-23-32,12.0,3803.6666666666665
-4_10%,2025-10-22-20-23-32,15.0,3774.6666666666665
-4_10%,2025-10-22-20-23-32,18.0,3832.6666666666665
-4_10%,2025-10-22-20-23-32,21.0,3805.0
-4_10%,2025-10-22-20-23-32,24.0,3773.6666666666665
-4_10%,2025-10-22-20-23-32,27.0,3732.6666666666665
-4_10%,2025-10-22-20-23-32,30.0,3622.0
-4_10%,2025-10-22-20-23-32,33.0,3654.6666666666665
-4_10%,2025-10-22-20-23-32,36.0,3857.0
-4_10%,2025-10-22-20-23-32,39.0,3848.0
-4_10%,2025-10-22-20-23-32,42.0,3870.3333333333335
-4_10%,2025-10-22-20-23-32,45.0,3889.3333333333335
-4_10%,2025-10-22-20-23-32,48.0,3775.3333333333335
-4_10%,2025-10-22-20-23-32,51.0,3876.0
-4_10%,2025-10-22-20-23-32,54.0,3900.3333333333335
-4_10%,2025-10-22-20-23-32,57.0,3843.6666666666665
-4_10%,2025-10-22-20-23-32,60.0,3739.3333333333335
-4_10%,2025-10-22-20-26-31,3.0,3654.0
-4_10%,2025-10-22-20-26-31,6.0,3712.0
-4_10%,2025-10-22-20-26-31,9.0,3757.3333333333335
-4_10%,2025-10-22-20-26-31,12.0,3805.0
-4_10%,2025-10-22-20-26-31,15.0,3834.0
-4_10%,2025-10-22-20-26-31,18.0,3832.0
-4_10%,2025-10-22-20-26-31,21.0,3809.3333333333335
-4_10%,2025-10-22-20-26-31,24.0,3812.3333333333335
-4_10%,2025-10-22-20-26-31,27.0,3773.0
-4_10%,2025-10-22-20-26-31,30.0,3721.0
-4_10%,2025-10-22-20-26-31,33.0,3662.6666666666665
-4_10%,2025-10-22-20-26-31,36.0,3854.3333333333335
-4_10%,2025-10-22-20-26-31,39.0,3914.0
-4_10%,2025-10-22-20-26-31,42.0,3935.6666666666665
-4_10%,2025-10-22-20-26-31,45.0,3900.6666666666665
-4_10%,2025-10-22-20-26-31,48.0,3833.0
-4_10%,2025-10-22-20-26-31,51.0,3941.3333333333335
-4_10%,2025-10-22-20-26-31,54.0,3821.3333333333335
-4_10%,2025-10-22-20-26-31,57.0,3756.0
-4_10%,2025-10-22-20-26-31,60.0,3736.6666666666665
-4_90%,2025-10-22-18-02-53,3.0,3782.3333333333335
-4_90%,2025-10-22-18-02-53,6.0,3762.3333333333335
-4_90%,2025-10-22-18-02-53,9.0,3808.6666666666665
-4_90%,2025-10-22-18-02-53,12.0,3752.3333333333335
-4_90%,2025-10-22-18-02-53,15.0,3796.3333333333335
-4_90%,2025-10-22-18-02-53,18.0,3856.0
-4_90%,2025-10-22-18-02-53,21.0,3750.3333333333335
-4_90%,2025-10-22-18-02-53,24.0,3669.3333333333335
-4_90%,2025-10-22-18-02-53,27.0,3744.0
-4_90%,2025-10-22-18-02-53,30.0,3566.0
-4_90%,2025-10-22-18-02-53,33.0,4262.666666666667
-4_90%,2025-10-22-18-02-53,36.0,4399.333333333333
-4_90%,2025-10-22-18-02-53,39.0,4339.333333333333
-4_90%,2025-10-22-18-02-53,42.0,4330.333333333333
-4_90%,2025-10-22-18-02-53,45.0,4348.333333333333
-4_90%,2025-10-22-18-02-53,48.0,4183.0
-4_90%,2025-10-22-18-02-53,51.0,4223.333333333333
-4_90%,2025-10-22-18-02-53,54.0,4384.333333333333
-4_90%,2025-10-22-18-02-53,57.0,4463.0
-4_90%,2025-10-22-18-02-53,60.0,4427.0
-4_90%,2025-10-22-20-29-31,3.0,3710.6666666666665
-4_90%,2025-10-22-20-29-31,6.0,3768.3333333333335
-4_90%,2025-10-22-20-29-31,9.0,3726.6666666666665
-4_90%,2025-10-22-20-29-31,12.0,3815.6666666666665
-4_90%,2025-10-22-20-29-31,15.0,3818.6666666666665
-4_90%,2025-10-22-20-29-31,18.0,3804.3333333333335
-4_90%,2025-10-22-20-29-31,21.0,3808.3333333333335
-4_90%,2025-10-22-20-29-31,24.0,3757.6666666666665
-4_90%,2025-10-22-20-29-31,27.0,3781.3333333333335
-4_90%,2025-10-22-20-29-31,30.0,3670.3333333333335
-4_90%,2025-10-22-20-29-31,33.0,4449.0
-4_90%,2025-10-22-20-29-31,36.0,4333.333333333333
-4_90%,2025-10-22-20-29-31,39.0,4386.0
-4_90%,2025-10-22-20-29-31,42.0,4391.333333333333
-4_90%,2025-10-22-20-29-31,45.0,4410.0
-4_90%,2025-10-22-20-29-31,48.0,4315.666666666667
-4_90%,2025-10-22-20-29-31,51.0,4418.0
-4_90%,2025-10-22-20-29-31,54.0,4506.0
-4_90%,2025-10-22-20-29-31,57.0,4423.333333333333
-4_90%,2025-10-22-20-29-31,60.0,4283.333333333333
-4_90%,2025-10-22-20-32-31,3.0,3721.6666666666665
