experiment_name,exp_timestamp,time_s,tput
Gov-10,2026-03-25-21-44-55,2.5,5150.4
Gov-10,2026-03-25-21-44-55,5.0,5179.2
Gov-10,2026-03-25-21-44-55,7.5,5096.4
Gov-10,2026-03-25-21-44-55,10.0,5144.4
Gov-10,2026-03-25-21-44-55,12.5,5147.6
Gov-10,2026-03-25-21-44-55,15.0,5148.8
Gov-10,2026-03-25-21-44-55,17.5,5085.6
Gov-10,2026-03-25-21-44-55,20.0,5088.8
Gov-10,2026-03-25-21-44-55,22.5,4970.4
Gov-10,2026-03-25-21-44-55,25.0,5052.0
Gov-10,2026-03-25-21-44-55,27.5,4921.2
Gov-10,2026-03-25-21-44-55,30.0,4963.6
Gov-10,2026-03-25-21-44-55,32.5,4991.6
Gov-10,2026-03-25-21-44-55,35.0,5058.8
Gov-10,2026-03-25-21-44-55,37.5,5058.0
Gov-10,2026-03-25-21-44-55,40.0,5080.0
Gov-10,2026-03-25-21-44-55,42.5,4987.2
Gov-10,2026-03-25-21-44-55,45.0,5047.6
Gov-10,2026-03-25-21-44-55,47.5,5133.6
Gov-10,2026-03-25-21-44-55,50.0,5185.6
Gov-10,2026-03-25-21-44-55,52.5,5170.4
Gov-10,2026-03-25-21-44-55,55.0,5149.2
Gov-10,2026-03-25-21-44-55,57.5,5160.8
Gov-10,2026-03-25-21-44-55,60.0,5155.2
Gov-90,2026-03-25-21-48-50,2.5,5123.2
Gov-90,2026-03-25-21-48-50,5.0,5170.8
Gov-90,2026-03-25-21-48-50,7.5,5124.4
Gov-90,2026-03-25-21-48-50,10.0,4946.8
Gov-90,2026-03-25-21-48-50,12.5,5118.8
Gov-90,2026-03-25-21-48-50,15.0,5189.2
Gov-90,2026-03-25-21-48-50,17.5,3694.8
Gov-90,2026-03-25-21-48-50,20.0,3621.2
Gov-90,2026-03-25-21-48-50,22.5,3625.6
Gov-90,2026-03-25-21-48-50,25.0,3722.0
Gov-90,2026-03-25-21-48-50,27.5,3731.2
Gov-90,2026-03-25-21-48-50,30.0,3742.0
Gov-90,2026-03-25-21-48-50,32.5,3628.8
Gov-90,2026-03-25-21-48-50,35.0,3746.8
Gov-90,2026-03-25-21-48-50,37.5,3738.8
Gov-90,2026-03-25-21-48-50,40.0,3713.2
Gov-90,2026-03-25-21-48-50,42.5,3776.8
Gov-90,2026-03-25-21-48-50,45.0,3678.8
Gov-90,2026-03-25-21-48-50,47.5,5206.0
Gov-90,2026-03-25-21-48-50,50.0,5162.8
Gov-90,2026-03-25-21-48-50,52.5,5106.0
Gov-90,2026-03-25-21-48-50,55.0,5176.8
Gov-90,2026-03-25-21-48-50,57.5,5196.0
Gov-90,2026-03-25-21-48-50,60.0,5138.4
Policy-1,2026-03-25-21-37-08,2.5,5173.6
Policy-1,2026-03-25-21-37-08,5.0,5159.2
Policy-1,2026-03-25-21-37-08,7.5,5155.6
Policy-1,2026-03-25-21-37-08,10.0,5137.6
Policy-1,2026-03-25-21-37-08,12.5,5218.8
Policy-1,2026-03-25-21-37-08,15.0,5229.2
Policy-1,2026-03-25-21-37-08,17.5,5187.6
Policy-1,2026-03-25-21-37-08,20.0,5176.4
Policy-1,2026-03-25-21-37-08,22.5,5150.0
Policy-1,2026-03-25-21-37-08,25.0,5202.0
Policy-1,2026-03-25-21-37-08,27.5,5198.4
Policy-1,2026-03-25-21-37-08,30.0,5195.2
Policy-1,2026-03-25-21-37-08,32.5,5187.6
Policy-1,2026-03-25-21-37-08,35.0,5179.2
Policy-1,2026-03-25-21-37-08,37.5,5160.4
Policy-1,2026-03-25-21-37-08,40.0,5152.8
Policy-1,2026-03-25-21-37-08,42.5,5167.6
Policy-1,2026-03-25-21-37-08,45.0,5148.0
Policy-1,2026-03-25-21-37-08,47.5,5209.6
Policy-1,2026-03-25-21-37-08,50.0,5150.4
Policy-1,2026-03-25-21-37-08,52.5,5182.0
Policy-1,2026-03-25-21-37-08,55.0,5180.4
Policy-1,2026-03-25-21-37-08,57.5,5171.2
Policy-1,2026-03-25-21-37-08,60.0,5166.8
Policy-5,2026-03-25-21-41-02,2.5,3474.8
Policy-5,2026-03-25-21-41-02,5.0,3481.6
Policy-5,2026-03-25-21-41-02,7.5,3415.2
Policy-5,2026-03-25-21-41-02,10.0,3440.8
Policy-5,2026-03-25-21-41-02,12.5,3443.6
Policy-5,2026-03-25-21-41-02,15.0,3421.2
Policy-5,2026-03-25-21-41-02,17.5,3486.0
Policy-5,2026-03-25-21-41-02,20.0,3438.0
Policy-5,2026-03-25-21-41-02,22.5,3555.6
Policy-5,2026-03-25-21-41-02,25.0,3417.6
Policy-5,2026-03-25-21-41-02,27.5,3471.2
Policy-5,2026-03-25-21-41-02,30.0,3400.8
Policy-5,2026-03-25-21-41-02,32.5,3479.6
Policy-5,2026-03-25-21-41-02,35.0,3514.0
Policy-5,2026-03-25-21-41-02,37.5,3520.8
Policy-5,2026-03-25-21-41-02,40.0,3452.0
Policy-5,2026-03-25-21-41-02,42.5,3429.2
Policy-5,2026-03-25-21-41-02,45.0,3503.2
Policy-5,2026-03-25-21-41-02,47.5,3527.2
Policy-5,2026-03-25-21-41-02,50.0,3452.0
Policy-5,2026-03-25-21-41-02,52.5,3468.0
Policy-5,2026-03-25-21-41-02,55.0,3509.2
Policy-5,2026-03-25-21-41-02,57.5,3430.4
Policy-5,2026-03-25-21-41-02,60.0,3489.2
