experiment_name,num_clients,num_byz_clients,tput_per_correct_client,exp_timestamp
ddos,20,0,191.05,2025-10-22-22-34-35
ddos,20,1,190.17368421052632,2025-10-22-22-37-02
ddos,20,2,188.33888888888887,2025-10-22-22-39-29
ddos,20,3,187.41372549019607,2025-10-22-22-41-56
ddos,20,4,184.58541666666667,2025-10-22-22-44-23
ddos,20,5,181.09333333333333,2025-10-22-22-46-51
ignore-val-ideal,20,0,188.24666666666667,2025-10-22-22-49-18
ignore-val-ideal,20,1,192.5859649122807,2025-10-22-22-51-46
ignore-val-ideal,20,2,193.14814814814815,2025-10-22-22-54-13
ignore-val-ideal,20,3,191.10980392156864,2025-10-22-22-56-40
ignore-val-ideal,20,4,187.3125,2025-10-22-22-59-08
ignore-val-ideal,20,5,184.97555555555556,2025-10-22-23-01-35
ignore-val-pessimistic,20,0,189.11166666666665,2025-10-22-23-04-03
ignore-val-pessimistic,20,1,188.3017543859649,2025-10-22-23-06-30
ignore-val-pessimistic,20,2,188.60555555555555,2025-10-22-23-08-57
ignore-val-pessimistic,20,3,188.3627450980392,2025-10-22-23-11-24
ignore-val-pessimistic,20,4,187.74375,2025-10-22-23-13-52
ignore-val-pessimistic,20,5,188.0711111111111,2025-10-22-23-16-19
