experiment_name,num_clients,timestamp,tput,mean,p50_latency,p90_latency,p99_latency,p50_latency_std,p90_latency_std,p99_latency_std
10%-P-5,20,2026-07-21-15-33-03,5136.133333333333,4.00692259504556,3.9033285,4.6785624,5.686914840000002,0.0,0.0,0.0
10%-P-5,20,2026-07-21-15-35-31,5161.666666666667,3.9872636050048436,3.885559,4.6584463000000005,5.67286526,0.0,0.0,0.0
10%-P-5,20,2026-07-21-15-37-59,5139.433333333333,4.004457722031612,3.8970160000000003,4.6832410000000015,5.695530639999999,0.0,0.0,0.0
10%-P-5-known,20,2026-07-21-15-10-56,5197.166666666667,3.959860659545265,3.905935,4.4877636,5.124355979999996,0.0,0.0,0.0
10%-P-5-known,20,2026-07-21-15-13-23,5179.066666666667,3.9737512772056744,3.919639,4.504697800000001,5.120623500000001,0.0,0.0,0.0
10%-P-5-known,20,2026-07-21-15-15-51,5180.633333333333,3.9724105236618437,3.915879,4.512036800000001,5.17030508,0.0,0.0,0.0
20%-P-5,20,2026-07-21-15-40-27,4942.733333333334,4.164502884301534,4.0190035,5.0824992,6.000208740000001,0.0,0.0,0.0
20%-P-5,20,2026-07-21-15-42-54,4949.2,4.1592682320711765,4.012339,5.079092999999999,5.996132,0.0,0.0,0.0
20%-P-5,20,2026-07-21-15-45-22,4952.3,4.156528221425734,4.001521,5.0741524,6.032848720000002,0.0,0.0,0.0
20%-P-5-known,20,2026-07-21-15-18-19,5045.666666666667,4.079215128770562,4.0196655,4.6582346,5.293140459999999,0.0,0.0,0.0
20%-P-5-known,20,2026-07-21-15-20-46,5044.5,4.0799513710311555,4.014784000000001,4.6659934000000005,5.432334860000001,0.0,0.0,0.0
20%-P-5-known,20,2026-07-21-15-23-14,5035.333333333333,4.087651635754004,4.0343995,4.6730595,5.313871210000001,0.0,0.0,0.0
50%-P-5,20,2026-07-21-15-47-50,4419.2,4.660115402357893,4.56835,5.7135955,6.66427325,0.0,0.0,0.0
50%-P-5,20,2026-07-21-15-50-17,4409.2,4.670633772173335,4.5791129999999995,5.7218705,6.63386675,0.0,0.0,0.0
50%-P-5,20,2026-07-21-15-52-45,4399.766666666666,4.680637935428394,4.580661,5.738627,6.71413192,0.0,0.0,0.0
50%-P-5-known,20,2026-07-21-15-25-41,4694.066666666667,4.386054402287995,4.3459745000000005,5.0098139,5.6946937900000005,0.0,0.0,0.0
50%-P-5-known,20,2026-07-21-15-28-09,4688.466666666666,4.391266596982667,4.3469925,5.0198131,5.7702202400000004,0.0,0.0,0.0
50%-P-5-known,20,2026-07-21-15-30-36,4692.866666666667,4.387366613193073,4.3445035,5.017074,5.76353635,0.0,0.0,0.0
